Track_Name,Artist_Name,Album_Name,Album_Artist_Name,Album_Release_Date,Album_Release_Year,Disc_Number,Track_Number,Track_Duration_Milliseconds,Track_Duration_Seconds,Track_Duration_Minutes,Explicit,Popularity,Artist_Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time_Signature,Language
Sri Venkatesa Suprabatham,Anuradha Krishnamoorthy,Suprabatham,Anuradha Krishnamoorthy,21-11-1999,1999,1,1,1301269,1301.269,21.68781667,FALSE,34,telugu devotional,0.391,0.633,9,-5.947,1,0.0541,0.766,0,0.0895,0.835,86.747,3,Sanskrit
Namah Suryaya,Anuradha Bhat,Stotra Samputam,Anuradha Bhat,2016,2016,1,3,775573,775.573,12.92621667,FALSE,2,filmi,0.641,0.578,7,-7.949,1,0.0467,0.477,0,0.151,0.923,150.559,4,Sanskrit
Shri Ganesh Mantra (Om Gam Ganpataye Namo Namah),Ritu,Shri Ganesh Mantra (Om Gam Ganpataye Namo Namah) - Single,Ritu,11-07-2020,2020,1,1,655760,655.76,10.92933333,FALSE,2,Unknown,0.321,0.144,7,-13.227,1,0.0458,0.723,0,0.113,0.48,75.237,1,Sanskrit
Maha Mrityunjaya Mantra Om Tryambakam Yajamahe Shiv Mantra,Suresh Wadkar,Divine Chants from Incredible India Mantras Dhuni Shlokas Best of Divine & Spiritual Music Essentials,Various Artists,15-07-2014,2014,1,5,312440,312.44,5.207333333,FALSE,0,"bhajan,classic bollywood,desi pop,filmi,ghazal,modern bollywood",0.502,0.401,0,-10.307,1,0.0401,0.891,0.00149,0.0902,0.392,159.764,1,Sanskrit
Shiva Shirasanamami,S. P. Balasubrahmanyam,Lord Shiva,"S. P. Balasubrahmanyam, G. V. Atri, Ajay Warriar",28-07-2016,2016,1,13,1188868,1188.868,19.81446667,FALSE,17,filmi,0.628,0.67,5,-6.451,1,0.0706,0.349,0,0.273,0.963,172.027,4,Sanskrit
Bhaja Govindam,Sharda,Govinda Govinda Sri Srinivasa,Various Artists,2010,2010,1,1,867146,867.146,14.45243333,FALSE,3,Unknown,0.434,0.552,3,-8.719,1,0.0533,0.653,0,0.103,0.728,85.088,4,Sanskrit
Gayathri Mantram 4,Bombay Saradha,Gayathri Mantram,S. P. Balasubrahmanyam,01-10-2007,2007,1,4,663040,663.04,11.05066667,FALSE,1,tamil devotional,0.436,0.336,7,-8.933,0,0.0459,0.963,0,0.0719,0.788,96.733,5,Sanskrit
Durga Suktham,Sharma Brothers,Mantras Vol. 2 Sanskrit Devotional,Sharma Brothers,22-09-2014,2014,1,7,182360,182.36,3.039333333,FALSE,0,Unknown,0.456,0.507,8,-12.589,1,0.0593,0.74,0,0.077,0.375,133.746,3,Sanskrit
Amme Narayana,Madhu Balakrishnan,Guruthy Archana,Madhu Balakrishnan,10-09-2004,2004,1,1,1273013,1273.013,21.21688333,FALSE,0,"filmi,mollywood,tamil pop",0.699,0.725,3,-8.441,1,0.0427,0.382,0,0.139,0.91,154.871,3,Sanskrit
Jai Shiv Omkara - Shiv Aarti,Sanjeevani Bhelande,Shiva Devotional Songs,Various Artists,07-05-2015,2015,1,2,296325,296.325,4.93875,FALSE,3,"mantra,marathi devotional,marathi traditional",0.68,0.488,1,-8.956,1,0.039,0.106,0,0.143,0.54,100.086,4,Sanskrit
Hanuman Chalisa,"Unnikrishnan, Tulasi Das",Hanuman Chalisa,"Unnikrishnan, S. P. Balasubrahmanyam",25-01-2013,2013,1,1,529293,529.293,8.82155,FALSE,20,"filmi,tamil pop",0.645,0.445,8,-9.901,1,0.0372,0.767,0,0.0807,0.648,117.986,4,Sanskrit
Siva Gayathri,Ramu,Siva Stuthi,Ramu,12-04-2002,2002,1,10,1093072,1093.072,18.21786667,FALSE,17,telugu devotional,0.71,0.385,7,-6.858,1,0.0348,0.759,0,0.231,0.763,109.588,4,Sanskrit
Lokaveeram - Slokam,K. J. Yesudas,Abhishekam,"K.V.Madhavan, Parupalli Ranganath",01-08-2014,2014,1,1,123794,123.794,2.063233333,FALSE,20,"filmi,mollywood",0.582,0.241,4,-12.671,1,0.287,0.85,0,0.131,0.195,78.713,5,Sanskrit
"Vishnu Sahasranamam, Pt. 1",M. S. Subbulakshmi,Bhaja Govindam - Vishnu Sahasranamam,"M. S. Subbulakshmi, Rajaji, Radha Viswanathan",18-01-2013,2013,1,5,405760,405.76,6.762666667,FALSE,33,"carnatic,carnatic vocal,indian classical",0.695,0.311,5,-8.23,1,0.148,0.921,0,0.25,0.502,101.648,4,Sanskrit
"Vishnu Sahasranamam, Pt. 2",M. S. Subbulakshmi,Bhaja Govindam - Vishnu Sahasranamam,"M. S. Subbulakshmi, Rajaji, Radha Viswanathan",18-01-2013,2013,1,6,1391053,1391.053,23.18421667,FALSE,31,"carnatic,carnatic vocal,indian classical",0.695,0.263,5,-9.308,1,0.406,0.9,0,0.305,0.649,103.915,4,Sanskrit
Purusha Sukta,Brahmins,Moksha (Vedic Chants By 21 Brahmins),Brahmins,27-04-2008,2008,1,3,371745,371.745,6.19575,FALSE,27,mantra,0.353,0.453,8,-8.845,1,0.0401,0.566,0,0.108,0.0949,86.596,5,Sanskrit
Laxmi Mantra 108 Times,Nipun Aggarwal,Laxmi Mantra 108 Times,Nipun Aggarwal,01-07-2017,2017,1,1,896706,896.706,14.9451,FALSE,27,mantra,0.445,0.218,4,-14.987,0,0.0322,0.79,4.79E-05,0.124,0.0635,89.707,4,Sanskrit
Om Gan Ganapataye Namo,Suresh Wadkar,Ganesh Chaturthi Special (Hindi Devotional Songs),Various Artists,01-07-2016,2016,1,9,448995,448.995,7.48325,FALSE,26,"bhajan,classic bollywood,desi pop,filmi,ghazal,modern bollywood",0.776,0.55,10,-10.865,1,0.0702,0.354,2.30E-06,0.104,0.686,140.954,4,Sanskrit
Om Thrayambakam,"Geetha, Latha",Mahamritunjay Mantra,"Geetha, Latha",05-05-2020,2020,1,1,2464550,2464.55,41.07583333,FALSE,1,Unknown,0.745,0.422,9,-7.784,1,0.0311,0.706,0,0.234,0.324,107.972,4,Sanskrit
Shri Lakshmi Gayatri Mantra,Rajalakshmee Sanjay,South Devotional Songs,Rajalakshmee Sanjay,05-05-2015,2015,1,2,234800,234.8,3.913333333,FALSE,11,mantra,0.637,0.582,9,-7.903,1,0.043,0.524,0,0.0992,0.447,149.908,4,Sanskrit
Kousalya Supraja,"Latha, Malathi",Venkatesa Suprabhatham / Kanda Sashti Kavacham,"Latha Malathi, Ramu",09-06-2002,2002,1,1,1503033,1503.033,25.05055,FALSE,15,tollywood,0.605,0.357,7,-10.322,1,0.122,0.768,0,0.293,0.611,95.731,1,Sanskrit
Aigiri Nandini,Bombay Jayashri,Aigiri Nandini - Single,Bombay Jayashri,17-09-2019,2019,1,1,434440,434.44,7.240666667,FALSE,39,"carnatic,carnatic vocal,filmi,indian classical,tamil pop",0.78,0.608,10,-8.105,0,0.032,0.795,0,0.102,0.808,130.021,4,Sanskrit
Mahalakshmi Ashtakam,Rajalakshmee Sanjay,South Devotional Songs,Rajalakshmee Sanjay,05-05-2015,2015,1,6,201477,201.477,3.35795,FALSE,16,mantra,0.701,0.795,0,-6.374,1,0.0342,0.411,0,0.0698,0.667,131.909,4,Sanskrit
Raghupati Raghav Raja Ram,Kailash Hare Krishna Das,Shree Ram Bhajans Diwali Special,Kailash Hare Krishna Das,01-10-2014,2014,1,4,652008,652.008,10.8668,FALSE,0,mantra,0.245,0.127,3,-13.998,0,0.034,0.922,0,0.111,0.212,79.615,4,Sanskrit
Lalitha Sahasranamam,Rajalakshmee Sanjay,South Devotional Songs,Rajalakshmee Sanjay,05-05-2015,2015,1,10,1804750,1804.75,30.07916667,FALSE,25,mantra,0.634,0.358,9,-4.692,1,0.0778,0.879,0,0.195,0.816,83.648,1,Sanskrit
Namah Suryaya Chandraya,Pallavi Arun,Divine Chants,Pallavi Arun,12-03-2008,2008,1,8,54125,54.125,0.902083333,FALSE,0,Unknown,0.463,0.362,0,-7.815,1,0.0409,0.642,0,0.105,0.198,86.8,1,Sanskrit
Shri Suktam,"Vighnesh Ghanapaathi, Gurumurthi Bhat, Shridhara Bhat Vedadhara",Shri Suktam,"Vighnesh Ghanapaathi, Gurumurthi Bhat, Shridhara Bhat Vedadhara",21-12-2017,2017,1,1,310062,310.062,5.1677,FALSE,45,"bhajan,mantra,marathi devotional",0.582,0.377,9,-6.071,1,0.0444,0.578,0,0.151,0.512,138.137,4,Sanskrit
"Bomma Bomma Tha - From ""Ghibran's Spiritual Series""","Ghibran, Roshinijkv, Amirthavarshini","Bomma Bomma Tha (From ""Ghibran's Spiritual Series"")","Ghibran, Roshinijkv, Amirthavarshini",04-09-2020,2020,1,1,210666,210.666,3.5111,FALSE,31,"desi hip hop,tamil pop",0.692,0.93,4,-5.098,1,0.112,0.762,0.0298,0.271,0.711,170.134,4,Sanskrit
Chandai Alangari,"Girishh G, Arunasairam",Mookuthi Amman (Original Motion Picture Soundtrack),Girishh G,07-11-2020,2020,1,4,176954,176.954,2.949233333,FALSE,38,tamil pop,0.397,0.749,4,-11.781,1,0.137,0.539,0,0.371,0.539,150.037,4,Sanskrit
Adity Ahrudayam,Malola Kannan,Aditya Hrudya Stotram,Malola Kannan,17-08-2010,2010,1,1,492866,492.866,8.214433333,FALSE,6,mantra,0.606,0.481,0,-10.817,1,0.123,0.674,0,0.0903,0.426,87.164,4,Sanskrit
Vishnu Sahasranamam,M. S. Subbulakshmi,"M. S. Subbulakshmi Sings For Tirupati Lord Balaji,Vol. 2",Traditional,15-09-2010,2010,1,1,1785809,1785.809,29.76348333,FALSE,48,"carnatic,carnatic vocal,indian classical",0.704,0.313,10,-8.046,1,0.591,0.928,0,0.333,0.556,133.15,5,Sanskrit
Bhagyada Lakshmi Baramma,Uthara Unnikrishnan,Bhagyada Lakshmi Baramma - Single,Uthara Unnikrishnan,20-12-2019,2019,1,1,355354,355.354,5.922566667,FALSE,32,Unknown,0.531,0.653,6,-6.399,0,0.0503,0.833,0,0.0935,0.656,154.66,4,Sanskrit
Achyutam Keshavam Krishna Damodaram,"Pratiksha Vashishtha, Amjad Nadeem",Achyutam Keshavam Krishna Damodaram - Zee Music Devotional,"Pratiksha Vashishtha, Amjad Nadeem",14-03-2019,2019,1,1,274221,274.221,4.57035,FALSE,43,Unknown,0.618,0.67,4,-7.518,1,0.0317,0.451,0.000109,0.249,0.445,91.98,4,Sanskrit
Kanakdhara Stotram,Uma Mohan,Divine Chants OF Mahalakshmi,Uma Mohan,09-10-2017,2017,1,8,445570,445.57,7.426166667,FALSE,23,"kirtan,mantra",0.608,0.371,9,-9.081,1,0.0496,0.723,0,0.149,0.341,179.721,4,Sanskrit
Yaa Devi,Smitha,Ishana,Nihal,14-02-2012,2012,1,3,420000,420,7,FALSE,25,classic tollywood,0.621,0.443,5,-8.684,1,0.0289,0.911,0.00249,0.306,0.43,125.101,4,Sanskrit
Lakshmi Ashtagam,M. S. Subbulakshmi,Vishnu Sahasranamam,M. S. Subbulakshmi,22-06-2019,2019,1,2,543400,543.4,9.056666667,FALSE,31,"carnatic,carnatic vocal,indian classical",0.218,0.233,8,-9.028,1,0.0376,0.942,0,0.112,0.249,75.411,4,Sanskrit
Sridevi Khadgamala Sthothram,Priya Sisters,Devi Sthuthi,Priya Sisters,2002,2002,1,4,966910,966.91,16.11516667,FALSE,16,"carnatic,carnatic vocal,indian classical",0.616,0.58,9,-5.121,0,0.0305,0.827,0,0.337,0.506,149.777,3,Sanskrit
Prarthana - 108 Popular Sanskrit Stotras,Sri Vidhyabhushana,Prarthana - 108 Popular Sanskrit Stotras,Sri Vidhyabhushana,01-08-2011,2011,1,1,3111274,3111.274,51.85456667,FALSE,0,Unknown,0.374,0.289,0,-6.42,1,0.0367,0.836,0,0.0545,0.276,69.372,3,Sanskrit
Sri Venkateshwara Suprabhatham,M. S. Subbulakshmi,Sri Venkateshwara Suprabhatham,M. S. Subbulakshmi,03-06-1961,1961,1,1,1242280,1242.28,20.70466667,FALSE,0,"carnatic,carnatic vocal,indian classical",0.655,0.404,7,-7.33,1,0.48,0.965,0,0.404,0.771,100.65,4,Sanskrit
Bhavayami,M. S. Subbulakshmi,Sri Venkateshwara Suprabhatham,M. S. Subbulakshmi,03-06-1961,1961,1,2,822000,822,13.7,FALSE,0,"carnatic,carnatic vocal,indian classical",0.418,0.61,7,-8.242,1,0.199,0.873,1.23E-06,0.458,0.792,172.896,3,Sanskrit
Sri Rangapura Vihara,M. S. Subbulakshmi,Sri Venkateshwara Suprabhatham,M. S. Subbulakshmi,03-06-1961,1961,1,3,370253,370.253,6.170883333,FALSE,0,"carnatic,carnatic vocal,indian classical",0.476,0.413,7,-7.93,1,0.031,0.964,0.0147,0.545,0.522,106.042,4,Sanskrit
Venkatachala Nilayam - Sindhubhairavi - Aadi,M. L. Vasanthakumari,Rendezvous with Legends - M.L. Vasanthakumari,M. L. Vasanthakumari,28-02-2009,2009,1,36,202032,202.032,3.3672,FALSE,0,"carnatic,carnatic vocal,indian classical",0.649,0.312,3,-13.285,1,0.32,0.953,0.224,0.351,0.754,80.971,4,Sanskrit
Vathapi Ganapathim Bhajeham,"M. S. Subbulakshmi, Gowri Ramanarayanan","Remembering the Legend - M.S. Subbulakshmi, Vol. 1","M. S. Subbulakshmi, Radha Viswanathan, Gowri Ramanarayanan",09-09-2016,2016,1,5,432614,432.614,7.210233333,FALSE,0,"carnatic,carnatic vocal,indian classical",0.377,0.551,6,-14.569,0,0.445,0.671,0,0.554,0.591,81.275,4,Sanskrit
Bhaja Govindam,M. S. Subbulakshmi,"Remembering the Legend - M.S. Subbulakshmi, Vol. 1","M. S. Subbulakshmi, Radha Viswanathan, Gowri Ramanarayanan",09-09-2016,2016,1,1,661293,661.293,11.02155,FALSE,0,"carnatic,carnatic vocal,indian classical",0.353,0.424,10,-8.008,1,0.062,0.966,0,0.242,0.602,77.142,4,Sanskrit
Lakshmi Ashthtothram,"M. S. Subbulakshmi, Radha Viswanathan","Remembering the Legend - M.S. Subbulakshmi, Vol. 1","M. S. Subbulakshmi, Radha Viswanathan, Gowri Ramanarayanan",09-09-2016,2016,1,2,363280,363.28,6.054666667,FALSE,0,"carnatic,carnatic vocal,indian classical,carnatic vocal,indian classical",0.513,0.286,2,-9.189,1,0.0503,0.984,0,0.352,0.226,125.739,4,Sanskrit
Siva Panchakshara Stotram,"M. S. Subbulakshmi, Radha Viswanathan","Remembering the Legend - M.S. Subbulakshmi, Vol. 1","M. S. Subbulakshmi, Radha Viswanathan, Gowri Ramanarayanan",09-09-2016,2016,1,12,181600,181.6,3.026666667,FALSE,0,"carnatic,carnatic vocal,indian classical,carnatic vocal,indian classical",0.565,0.29,1,-11.845,0,0.0392,0.924,0,0.395,0.303,82.055,5,Sanskrit
Annapoorna Shtakam,"M. S. Subbulakshmi, Radha Viswanathan","Remembering the Legend - M.S. Subbulakshmi, Vol. 1","M. S. Subbulakshmi, Radha Viswanathan, Gowri Ramanarayanan",09-09-2016,2016,1,14,574720,574.72,9.578666667,FALSE,0,"carnatic,carnatic vocal,indian classical,carnatic vocal,indian classical",0.381,0.158,7,-12.179,0,0.0382,0.99,0,0.397,0.179,90.152,1,Sanskrit
Sambho Mahadeva - Bhoopalam - Rupakam,M. S. Subbulakshmi,"Remembering the Legend - M.S. Subbulakshmi, Vol. 1","M. S. Subbulakshmi, Radha Viswanathan, Gowri Ramanarayanan",09-09-2016,2016,1,15,373400,373.4,6.223333333,FALSE,0,"carnatic,carnatic vocal,indian classical",0.565,0.165,2,-15.369,1,0.0864,0.989,0.0897,0.119,0.291,75.432,3,Sanskrit
Shri Lakshmi Narayan Stothram,"M. S. Subbulakshmi, Radha Viswanathan","Remembering the Legend - M.S. Subbulakshmi, Vol. 1","M. S. Subbulakshmi, Radha Viswanathan, Gowri Ramanarayanan",09-09-2016,2016,1,8,331893,331.893,5.53155,FALSE,0,"carnatic,carnatic vocal,indian classical,carnatic vocal,indian classical",0.532,0.322,7,-9.501,1,0.0294,0.941,0,0.18,0.419,89.647,1,Sanskrit
Dolayam,"M. S. Subbulakshmi, Radha Viswanathan","Remembering the Legend - M.S. Subbulakshmi, Vol. 1","M. S. Subbulakshmi, Radha Viswanathan, Gowri Ramanarayanan",09-09-2016,2016,1,10,163426,163.426,2.723766667,FALSE,0,"carnatic,carnatic vocal,indian classical,carnatic vocal,indian classical",0.391,0.566,0,-7.534,1,0.14,0.883,3.95E-06,0.71,0.685,171.338,4,Sanskrit
Sri Meenakshi Pancharatnam,M. S. Subbulakshmi,"Remembering the Legend - M.S. Subbulakshmi, Vol. 1","M. S. Subbulakshmi, Radha Viswanathan, Gowri Ramanarayanan",09-09-2016,2016,1,9,212906,212.906,3.548433333,FALSE,0,"carnatic,carnatic vocal,indian classical",0.43,0.272,11,-10.088,1,0.0666,0.955,0,0.293,0.418,169.333,4,Sanskrit
Bhavayami Gopalabalam - Yamuna Kalyani - Khanda Chapu,"M. S. Subbulakshmi, Radha Viswanathan","Remembering the Legend - M.S. Subbulakshmi, Vol. 1","M. S. Subbulakshmi, Radha Viswanathan, Gowri Ramanarayanan",09-09-2016,2016,1,7,277426,277.426,4.623766667,FALSE,0,"carnatic,carnatic vocal,indian classical,carnatic vocal,indian classical",0.444,0.459,5,-8.787,0,0.0419,0.84,0,0.0631,0.596,148.56,5,Sanskrit
Sri Krishna Ashtaga,P. B. Sreenivas,Sanskrit Devotional Slokams,P. B. Sreenivas,01-12-1981,1981,1,5,190253,190.253,3.170883333,FALSE,0,"classic kollywood,filmi",0.357,0.104,3,-15.313,1,0.0434,0.995,3.86E-05,0.179,0.325,78.821,4,Sanskrit
Sri Mahalakshmi Ashtakaam,P. B. Sreenivas,Sanskrit Devotional Slokams,P. B. Sreenivas,01-12-1981,1981,1,1,243453,243.453,4.05755,FALSE,0,"classic kollywood,filmi",0.472,0.141,10,-12.07,1,0.056,0.946,0,0.0662,0.099,74.215,5,Sanskrit
Sri Rama Mangala Sasanaam,P. B. Sreenivas,Sanskrit Devotional Slokams,P. B. Sreenivas,01-12-1981,1981,1,8,140720,140.72,2.345333333,FALSE,0,"classic kollywood,filmi",0.576,0.287,5,-9.497,1,0.0781,0.959,0,0.0947,0.525,105.859,3,Sanskrit
Sri Anjeneya Ashtakam,P. B. Sreenivas,Sanskrit Devotional Slokams,P. B. Sreenivas,01-12-1981,1981,1,9,335223,335.223,5.58705,FALSE,0,"classic kollywood,filmi",0.721,0.214,10,-17.24,0,0.107,0.995,0.339,0.119,0.935,74.331,4,Sanskrit
